timestamp_taipei,timestamp_utc,weekday,sw_people,sw_max,gym_people,gym_max
2026-07-02 09:11:43,2026-07-02T01:11:43Z,3,160,400,55,100
2026-07-02 09:21:45,2026-07-02T01:21:45Z,3,157,400,60,100
2026-07-02 09:31:47,2026-07-02T01:31:47Z,3,153,400,58,100
2026-07-02 09:41:48,2026-07-02T01:41:48Z,3,124,400,57,100
2026-07-02 09:51:50,2026-07-02T01:51:50Z,3,114,400,55,100
2026-07-02 10:01:52,2026-07-02T02:01:52Z,3,94,400,41,100
2026-07-02 10:11:54,2026-07-02T02:11:54Z,3,71,400,29,100
2026-07-02 13:40:25,2026-07-02T05:40:25Z,3,123,400,51,100
2026-07-02 13:50:26,2026-07-02T05:50:26Z,3,118,400,54,100
2026-07-02 14:00:28,2026-07-02T06:00:28Z,3,116,400,50,100
2026-07-02 14:10:30,2026-07-02T06:10:30Z,3,116,400,47,100
2026-07-02 14:20:31,2026-07-02T06:20:31Z,3,128,400,51,100
2026-07-02 14:30:33,2026-07-02T06:30:33Z,3,138,400,55,100
2026-07-02 14:40:35,2026-07-02T06:40:35Z,3,145,400,63,100
2026-07-02 14:50:37,2026-07-02T06:50:37Z,3,145,400,66,100
2026-07-02 15:00:38,2026-07-02T07:00:38Z,3,149,400,68,100
2026-07-02 15:10:40,2026-07-02T07:10:40Z,3,148,400,64,100
2026-07-02 15:20:42,2026-07-02T07:20:42Z,3,161,400,67,100
